name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bath,2024-03-12T00:00:00,6.4,4.9,5.1,91.45,0,0,,0,0,9.1,7.6,204,1012.8,77.4,9.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T01:00:00,6.2,4.6,5.2,93.37,0,0,,0,0,9,7.8,207,1012.9,81.8,7.7,0,0,0,,Partially cloudy,partly-cloudy-night,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T02:00:00,6.3,4.3,5.4,93.8,0.087,100,rain,0,0,12.5,9.6,203,1012.8,88.4,7.3,0,0,0,,"Rain, Partially cloudy",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T03:00:00,6.4,4.5,5.6,94.91,0.39,100,rain,0,0,12,9.4,186,1012.1,98.8,5.9,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T04:00:00,6.5,4.5,5.9,95.58,0.697,100,rain,0,0,13.8,9.9,167,1011.2,100,4.5,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T05:00:00,7.2,4.5,6.5,95.71,1.103,100,rain,0,0,23.7,14.6,165,1010.2,100,6.7,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T06:00:00,8.1,5.3,7.6,97.04,2.888,100,rain,0,0,28.6,17.2,186,1009.7,100,10.3,0,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T07:00:00,9,6.4,8.5,96.61,0.928,100,rain,0,0,25.9,17.4,191,1009.1,100,12.5,5,0,0,,"Rain, Overcast",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T08:00:00,9.8,7.6,9.2,96.55,0.302,100,rain,0,0,24,15.3,213,1009.1,100,18.2,19,0.1,0,,"Rain, Overcast",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
bath,2024-03-12T09:00:00,10.7,10.7,10.2,96.85,0.375,100,rain,0,0,27,17.3,225,1009.2,100,16,25,0.1,0,,"Rain, Overcast",rain,"03853099999,03743099999,03746099999,03644099999,03740099999,C2888,03749099999"
